"","Title","Genre","Developer(s)","Publisher(s)","Release date","Release date","Release date"
"227","Drake of the 99 Dragons","Third-person shooter","Idol FX","Majesco Entertainment","Unreleased","Unreleased","November 3, 2003"
"228","Dreamfall: The Longest Journey","Adventure","Funcom","Aspyr Media","August 11, 2006","Unreleased","April 18, 2006"
"229","Drihoo (JP)","Adventure","Highwaystar","Highwaystar","Unreleased","November 28, 2002","Unreleased"
"230","Mashed: Drive to Survive","Racing","Supersonic Software","Empire Interactive","June 18, 2004","Unreleased","Unreleased"
"231","DRIV3R","Racing","Reflections Interactive","Atari","June 22, 2004","Unreleased","June 21, 2004"
"232","Driver: Parallel Lines","Racing","Reflections Interactive","Atari","March 17, 2006","Unreleased","March 14, 2006"
"233","The Dukes of Hazzard: Return of the General Lee","Racing","Ratbag","Ubisoft","October 15, 2004","Unreleased","September 28, 2004"
"234","Dungeons & Dragons: Heroes","Hack and slash/RPG","Atari Hunt Valley","Atari","October 31, 2003","Unreleased","September 17, 2003"
"235","Dynasty Warriors 3 Shin Sangokumusou 2 (JP)","Hack and slash","Omega Force","Koei","June 12, 2002","September 26, 2002","September 30, 2002"
"236","Dynasty Warriors 4 Shin Sangokumusou 3 (JP)","Hack and slash","Omega Force","Koei","November 14, 2003","September 4, 2003","September 30, 2003"
"237","Dynasty Warriors 5 Shin Sangokumusou 4 (JP)","Hack and slash","Omega Force","Koei","September 23, 2005","August 25, 2005","September 13, 2005"
"238","Ed, Edd n Eddy: The Mis-Edventures","Adventure/Platformer","Artificial Mind and Movement","Midway Games","November 25, 2005","Unreleased","November 3, 2005"
"239","Egg Mania: Eggstreme Madness","Puzzle","HotGen","Kemco","October 25, 2002","October 3, 2002","September 11, 2002"
"240","The Elder Scrolls III: Morrowind","Action/RPG","Bethesda Softworks","Bethesda Softworks","November 22, 2002","Unreleased","June 6, 2002"
"241","Enclave","Action RPG/Hack and slash","Starbreeze","Conspiracy Entertainment","July 19, 2002","Unreleased","July 29, 2002"
"242","England International Football","Sports","Codemasters","Codemasters","April 30, 2004","Unreleased","Unreleased"
"243","Enter the Matrix","Third-person Action-Adventure/Fighting","Shiny Entertainment","Infogrames","May 15, 2003","June 19, 2003","May 14, 2003"
"244","Eragon","Hack and slash/Third-person Action-Adventure","Stormfront Studios","Vivendi Games","November 24, 2006","Unreleased","November 14, 2006"
"245","ESPN College Hoops","Sports","Visual Concepts","Sega","Unreleased","Unreleased","November 13, 2003"
"246","ESPN College Hoops 2K5","Sports","Visual Concepts","Sega","Unreleased","Unreleased","November 17, 2004"
"247","ESPN International Winter Sports 2002","Sports","Konami","Konami","April 12, 2002","February 22, 2002","February 28, 2002"
"248","ESPN Major League Baseball","Sports","Blue Shift","Sega","Unreleased","Unreleased","February 23, 2005"
"249","ESPN MLS ExtraTime 2002","Sports","KCEA","Konami","Unreleased","Unreleased","March 27, 2002"
"250","ESPN NBA 2K5","Sports","Visual Concepts","Sega","January 28, 2005","Unreleased","September 28, 2004"
"251","ESPN NBA 2Night 2002","Sports","Konami","Konami","Unreleased","Unreleased","April 16, 2002"
"252","ESPN NBA Basketball","Sports","Visual Concepts","Sega","November 28, 2003","Unreleased","October 22, 2003"
"253","ESPN NFL 2K5","Sports","Visual Concepts","Sega","January 28, 2005","Unreleased","July 20, 2004"
"254","ESPN NFL Football","Sports","Visual Concepts","Sega","November 28, 2003","Unreleased","September 3, 2003"
"255","ESPN NFL PrimeTime 2002","Sports","Farsight Technologies","Konami","Unreleased","Unreleased","January 22, 2002"
"256","ESPN NHL 2K5","Sports","Kush Games","Sega","October 15, 2004","Unreleased","August 30, 2004"
"257","ESPN NHL Hockey","Sports","Kush Games","Sega","November 28, 2003","Unreleased","September 9, 2003"
"258","ESPN Winter X-Games Snowboarding 2002","Sports","Konami","Konami","June 7, 2002","February 22, 2002","March 4, 2002"
"259","Evil Dead: A Fistful of Boomstick","Hack and slash","VIS Entertainment","THQ","June 27, 2003","Unreleased","June 17, 2003"
"260","Evil Dead: Regeneration","Hack and slash","Cranky Pants Games","THQ","September 30, 2003","Unreleased","September 13, 2003"
"261","ExaSkeleton","Action/Mecha Combat","Kiki Co.","Kiki Co.","Unreleased","December 18, 2003","Unreleased"
"262","F1 2001","Racing","EA Sports","EA Sports","Unreleased","Unreleased","November 18, 2001"
"263","F1 2002","Racing","EA Sports","EA Sports","April 4, 2002","Unreleased","Unreleased"
"264","F1 Career Challenge","Racing","EA Sports","EA Sports","June 27, 2003","Unreleased","Unreleased"
"265","Fable","Action/RPG","Lionhead Studios","Xbox Game Studios","October 8, 2004","Unreleased","September 14, 2004"
"266","Fable: The Lost Chapters","Action/RPG","Lionhead Studios","Xbox Game Studios","October 21, 2005","Unreleased","October 18, 2005"
"267","The Fairly OddParents: Breakin' Da Rules","Platformer/Action","THQ","THQ","Unreleased","Unreleased","November 3, 2003"
"268","Fallout: Brotherhood of Steel","Action/RPG","Interplay Entertainment","Interplay Entertainment","April 2, 2004","April 28, 2005","January 14, 2004"
"269","Family Guy Video Game!","Action-Adventure","High Voltage Software","2K Games","November 3, 2006","Unreleased","October 16, 2006"
"270","Fantastic 4","Action-Adventure/Beat 'em up","7 Studios","Activision","July 15, 2005","Unreleased","June 27, 2005"
"271","Far Cry Instincts","First-person shooter","Ubisoft Montreal","Ubisoft","September 30, 2005","Unreleased","September 27, 2005"
"272","Far Cry Instincts: Evolution","First-person shooter","Ubisoft Montreal","Ubisoft","March 30, 2006","Unreleased","March 28, 2006"
"273","Fatal Frame Project Zero (PAL)","Survival Horror","Tecmo","TecmoXbox Game Studios","May 2, 2003","February 6, 2003","November 22, 2002"
"274","Fatal Frame II: Crimson Butterfly Project Zero II: Crimson Butterfly (PAL)","Survival Horror","Tecmo","Tecmo","February 4, 2005","November 11, 2004","November 1, 2004"
"275","FIFA 06 Soccer","Sports","EA Canada","EA Sports","September 30, 2005","Unreleased","October 4, 2005"
"276","FIFA 07","Sports","EA Canada","EA Sports","September 25, 2006","Unreleased","October 3, 2006"
"277","FIFA Football 2003","Sports","EA Canada","EA Sports","November 1, 2002","Unreleased","November 12, 2002"
"278","FIFA Football 2004","Sports","EA Canada","EA Sports","October 24, 2003","Unreleased","November 4, 2003"
"279","FIFA 2005","Sports","EA Canada","EA Sports","October 8, 2004","Unreleased","October 12, 2004"
"280","FIFA Street","Sports","EA Canada","EA Sports BIG","March 11, 2005","Unreleased","February 22, 2005"
"281","FIFA Street 2","Sports","EA Canada","EA Sports BIG","March 3, 2006","Unreleased","February 28, 2006"
"282","FIFA World Cup: Germany 2006","Sports","EA Canada","EA Sports","April 28, 2006","Unreleased","April 24, 2006"
"283","Fight Club","Fighting","Genuine Games","Vivendi Universal Games","December 10, 2004","Unreleased","November 16, 2004"
"284","Fight Night 2004","Fighting","EA Sports","EA Sports","April 30, 2004","Unreleased","April 5, 2004"
"285","Fight Night Round 2","Fighting","EA Sports","EA Sports","March 18, 2005","September 1, 2005","February 28, 2005"
"286","Fight Night: Round 3","Fighting","EA Chicago","EA Sports","March 9, 2006","Unreleased","February 23, 2006"
"287","FILA World Tour Tennis","Sports","Hokus Pokus","THQ","August 23, 2002","Unreleased","Unreleased"
"288","Final Fight: Streetwise","Action-Adventure/Beat 'em up","Secret Level","Capcom","April 7, 2006","Unreleased","February 28, 2006"
"289","Finding Nemo","Action-Adventure","Traveller's Tales","THQ","September 26, 2003","Unreleased","May 5, 2003"
"290","Fire Blade","Helicopter Simulation","Kuju Entertainment","Midway Games","February 28, 2003","Unreleased","November 17, 2002"
"291","FlatOut","Racing","Bugbear Entertainment","Empire Interactive","November 5, 2004","Unreleased","July 12, 2005"
"292","FlatOut 2","Racing","Bugbear Entertainment","Empire Interactive","July 30, 2006","Unreleased","August 1, 2006"
"293","Flight Academy","Simulation","Aquasystem","Aquasystem","Unreleased","August 29, 2002","Unreleased"
"294","Ford Bold Moves Street Racing","Racing","Razorworks","Eidos Interactive","Unreleased","Unreleased","September 25, 2006"
"295","Ford Mustang: The Legend Lives","Racing","Eutechnyx","2K Games","July 15, 2005","Unreleased","April 20, 2005"
"296","Ford Racing 2","Racing","Razorworks","Take-Two Interactive","October 31, 2003","Unreleased","November 3, 2003"
"297","Ford Racing 3","Racing","Razorworks","2K Games","January 14, 2005","Unreleased","March 22, 2005"
"298","Ford vs. Chevy","Racing","2K Games","Global Star Software","Unreleased","Unreleased","November 9, 2005"
"299","Forgotten Realms: Demon Stone","Action RPG/Hack and slash","Stormfront Studios, Zono","Atari","February 11, 2005","Unreleased","November 17, 2004"
"300","Forza Motorsport","Racing","Xbox Game Studios","Xbox Game Studios","May 13, 2005","May 12, 2005","May 3, 2005"
"301","Freaky Flyers","Racing","Midway Games","Midway Games","October 10, 2003","Unreleased","August 5, 2003"
"302","Freedom Fighters","Third-person shooter","IO Interactive","EA Games","September 26, 2003","Unreleased","October 1, 2003"
"303","Freestyle MetalX","Sports","Midway Games","Midway Games","September 19, 2003","Unreleased","September 14, 2003"
"304","Freestyle Street Soccer","Sports","Silicon Dreams Studio","Acclaim Entertainment","February 13, 2004","Unreleased","March 25, 2004"
"305","Frogger Beyond","Platformer","Konami","Konami","Unreleased","Unreleased","December 11, 2002"
"306","Frogger: Ancient Shadow","Platformer","Hudson Soft","Konami","Unreleased","Unreleased","September 28, 2005"
"307","Full Spectrum Warrior","Real-Time Tactics","Pandemic Studios","THQ","June 25, 2004","September 30, 2004","June 1, 2004"
"308","Full Spectrum Warrior: Ten Hammers","Real-Time Tactics","Pandemic Studios","THQ","June 23, 2006","Unreleased","March 28, 2006"
"309","Furious Karting","Racing","Babylon Software","Infogrames","January 24, 2003","Unreleased","March 28, 2003"
"310","Futurama","Platformer/Action","Unique Development Studios","SCi GamesVivendi Universal Games","August 1, 2003","Unreleased","August 13, 2003"
"311","Future Tactics: The Uprising","Tactical Shooter","Zed Two","JoWooD ProductionsCrave Entertainment","October 22, 2004","Unreleased","May 10, 2004"
"312","Fuzion Frenzy","Party game","Blitz Games","Xbox Game Studios","March 14, 2002","Unreleased","November 15, 2001"
"313","Galaxy Angel","Visual novel/Dating Sim","Broccoli","","Unreleased","January 22, 2003","Unreleased"
"314","Galleon","Action-Adventure/Platformer","Confounding Factor","SCi","June 11, 2004","Unreleased","August 3, 2004"
"315","Gauntlet: Dark Legacy","Hack and slash","Midway Games","Midway Games","June 28, 2002","Unreleased","April 15, 2002"
"316","Gauntlet: Seven Sorrows","Hack and slash","Midway Games","Midway Games","March 26, 2005","Unreleased","December 12, 2005"
"317","Gene Troopers","First-person shooter","Cauldron","Akella, Playlogic Entertainment, PlayLogic International","November 9, 2005","Unreleased","Unreleased"
"318","Genma Onimusha","Third-person Action-Adventure/Hack and slash","Capcom","Capcom","March 22, 2002","February 22, 2002","January 28, 2002"
"319","Ghost Master: The Gravenville Chronicles","Puzzle/Strategy","Empire Interactive","Empire Interactive","August 27, 2004","Unreleased","Unreleased"
"320","Gladiator: Sword of Vengeance","Hack and slash","Acclaim Studios Manchester","Acclaim Entertainment","July 30, 2003","Unreleased","November 5, 2003"
"321","Gladius","Tactical RPG","LucasArts","LucasArts","November 28, 2003","Unreleased","October 28, 2003"
"322","Goblin Commander: Unleash the Horde","Action/Real-time strategy","Jaleco Entertainment","Jaleco Entertainment","March 19, 2003","Unreleased","November 11, 2003"
"323","The Godfather: The Game","Action-Adventure","Electronic Arts","Electronic Arts","March 24, 2006","Unreleased","March 21, 2006"
"324","Godzilla: Destroy All Monsters Melee","Fighting","Pipeworks Software","Infogrames","Unreleased","Unreleased","April 16, 2003"
"325","Godzilla: Save the Earth","Fighting","Pipeworks Software","Atari","December 10, 2004","December 2, 2004","November 2, 2004"
"326","GoldenEye: Rogue Agent","First-person shooter","EA Los Angeles","EA Games","November 26, 2004","Unreleased","November 22, 2004"
"327","Gotcha!","First-person shooter","Sixteen Tons Entertainment","Global Star Software","April 15, 2005","Unreleased","Unreleased"
"328","Grabbed by the Ghoulies","Action-Adventure/Beat 'em up","Rare","Xbox Game Studios","November 21, 2003","April 29, 2004","October 21, 2003"
"329","Grand Theft Auto III","Third-person Action-Adventure","Rockstar Vienna","Rockstar Games","January 2, 2004","Unreleased","October 31, 2003"
"330","Grand Theft Auto: Double Pack","Third-person Action-Adventure","Rockstar Vienna","Rockstar Games","January 2, 2004","July 29, 2004","October 31, 2003"
"331","Grand Theft Auto: San Andreas","Third-person Action-Adventure","Rockstar North","Rockstar Games","June 10, 2005","Unreleased","June 7, 2005"
"332","Grand Theft Auto: The Trilogy","Third-person Action-Adventure","Rockstar North","Rockstar Games","November 4, 2005","Unreleased","October 19, 2005"
"333","Grand Theft Auto: Vice City","Third-person Action-Adventure","Rockstar Vienna","Rockstar Games","January 2, 2004","July 29, 2004","October 31, 2003"
"334","Gravity Games Bike: Street. Vert. Dirt.","Extreme Sports","Midway Games","Midway Games","September 27, 2002","Unreleased","September 4, 2002"
"335","The Great Escape","Action-Adventure/Stealth","Pivotal Games","Gotham Games","August 29, 2003","Unreleased","July 23, 2003"
"336","Greg Hastings Tournament Paintball","First-person shooter","WXP","Activision","March 25, 2005","Unreleased","November 16, 2004"
"337","Greg Hastings' Tournament Paintball Max'd","First-person shooter","WXP","Activision","December 20, 2005","Unreleased","October 18, 2005"
"338","Grooverider: Slot Car Thunder","Racing","King of the Jungle","Encore","Unreleased","Unreleased","September 26, 2003"
"339","Group S Challenge CIRCUS DRIVE  (JP)","Racing","Capcom","Capcom","September 26, 2003","August 27, 2003","November 11, 2003"
"340","Guilty Gear Isuka[1]","Fighting","Sammy","Sammy","Unreleased","December 16, 2004","Unreleased"
"341","Guilty Gear X2#Reload[2]","Fighting","Sammy","Sammy","November 26, 2004","April 29, 2004","September 14, 2004"
"342","Gun","Action-Adventure","Neversoft","Activision","November 11, 2005","Unreleased","November 8, 2005"
"343","Gun Metal","Shooting/Flight Simulator","Rage Software","Majesco Entertainment","June 30, 2002","Unreleased","November 30, 2002"
"344","GunGriffon: Allied Strike","Simulation/Mecha","Game Arts","Tecmo","April 8, 2005","December 16, 2004","December 14, 2004"
"345","Gunvalkyrie","Third-person shooter","Smilebit","Sega","May 17, 2002","March 21, 2002","March 18, 2002"
"346","The Guy Game","Puzzle","Topheavy Studios","Gathering of Developers","Unreleased","Unreleased","August 30, 2004"
"347","Half-Life 2","First-person shooter","Valve","Valve","November 17, 2005","Unreleased","November 15, 2005"
"348","Halo: Combat Evolved","First-person shooter","Bungie","Xbox Game Studios","March 14, 2002","Unreleased","November 15, 2001"
"349","Halo 2","First-person shooter","Bungie","Xbox Game Studios","November 9, 2004","Unreleased","November 9, 2004"
"350","Halo 2 Multiplayer Map Pack","First-person shooter","Bungie","Xbox Game Studios","July 8, 2005","July 7, 2005","July 5, 2005"
"351","Halo Triple Pack","First-person shooter","Bungie","Xbox Game Studios","Unreleased","Unreleased","October 6, 2005"
"352","Harry Potter and the Chamber of Secrets","Third-person Action-Adventure","Eurocom","EA Games","November 15, 2002","Unreleased","November 14, 2002"
"353","Harry Potter and the Goblet of Fire","Third-person Action-Adventure","EA UK","Electronic Arts","November 11, 2005","Unreleased","November 8, 2005"
"354","Harry Potter and the Prisoner of Azkaban","Third-person Action-Adventure","EA Games","EA Games","May 29, 2004","Unreleased","June 2, 2004"
"355","Harry Potter and the Sorcerer's Stone Harry Potter and the Philosopher's Stone (PAL)","Third-person Action-Adventure","Warthog Games","EA Games","December 12, 2003","Unreleased","December 9, 2003"
"356","Harry Potter: Quidditch World Cup","Sports/Action","EA Games","EA Games","November 7, 2003","Unreleased","October 28, 2003"
"357","The Haunted Mansion","Third-person Action-Adventure","High Voltage Software","TDK Mediactive","March 5, 2003","Unreleased","October 14, 2003"
"358","Headhunter Redemption","Action-Adventure","Amuze","Sega","October 31, 2003","Unreleased","September 21, 2004"
"359","Hello Kitty: Roller RescueHello Kitty: Mission Rescue (AS)","Action-Adventure/Racing","XPEC Entertainment","Namco","September 9, 2005","March 31, 2005","Unreleased"
"360","Heroes of the Pacific","Combat Flight Simulator","IR Gurus","Codemasters, Ubisoft","September 23, 2005","Unreleased","September 28, 2005"
"361","High Heat Major League Baseball 2004","Sports","3DO","3DO","Unreleased","Unreleased","March 5, 2003"
"362","High Rollers Casino","Casino/Simulation","Cinemaware","Mud Duck Productions","Unreleased","Unreleased","November 11, 2004"
"363","Hitman: Blood Money","Stealth","IO Interactive","Eidos Interactive","May 26, 2006","Unreleased","May 30, 2006"
"364","Hitman: Contracts","Stealth","IO Interactive","Eidos Interactive","April 30, 2004","October 14, 2004","April 20, 2004"
"365","Hitman 2: Silent Assassin","Stealth","IO Interactive","Eidos Interactive","October 4, 2002","Unreleased","September 30, 2002"
"366","The Hobbit","Action-Adventure/Platformer","Inevitable Entertainment","Vivendi Universal Games","November 28, 2003","Unreleased","November 11, 2003"
"367","Hot Wheels: Stunt Track Challenge","Racing","Climax","THQ","November 26, 2004","Unreleased","November 10, 2004"
"368","The House of the Dead III","Rail Shooter","Wow Entertainment","Sega","March 14, 2003","January 30, 2003","October 24, 2002"
"369","Hulk","Action","Radical Entertainment","Vivendi Universal Games","June 13, 2003","Unreleased","May 27, 2003"
"370","Hummer Badlands","Racing","Eutechnyx","2K Games","Unreleased","Unreleased","April 14, 2006"
"371","Hunter: The Reckoning","Hack and slash","High Voltage Software","Interplay Entertainment","July 5, 2002","Unreleased","May 21, 2002"
"372","Hunter: The Reckoning: Redeemer","Hack and slash","High Voltage Software","Vivendi Universal Games","November 21, 2003","January 22, 2003","October 28, 2003"
"373","The Hustle: Detroit Streets","Billiards","Blade Interactive","Activision Value","Unreleased","Unreleased","April 26, 2006"
"374","I-Ninja","Platformer","Argonaut Games","Namco","Unreleased","Unreleased","December 4, 2003"
"375","Ice Age 2: The Meltdown","Platformer","Eurocom","Vivendi Universal Games","March 31, 2006","Unreleased","March 14, 2006"
"376","IHRA Drag Racing 2004","Racing","Bethesda Softworks","Bethesda Softworks","Unreleased","Unreleased","December 1, 2003"
"377","IHRA Drag Racing: Sportsman Edition","Racing","Bethesda Softworks","Bethesda Softworks","Unreleased","Unreleased","June 28, 2006"
"378","IHRA Professional Drag Racing 2005","Racing","Bethesda Softworks","Bethesda Softworks","Unreleased","Unreleased","November 8, 2004"
"379","Innocent Tears","RPG/Tactics","Global A Entertainment","Kobi","Unreleased","December 5, 2002","Unreleased"
"380","The Incredible Hulk: Ultimate Destruction","Third-person Action-Adventure/Beat 'em up","Radical Entertainment","Vivendi Universal Games","September 9, 2005","Unreleased","August 23, 2005"
"381","The IncrediblesMr. Incredible (JP)","Action-Adventure","Heavy Iron Studios","THQ","November 5, 2004","December 2, 2004","October 31, 2004"
"382","The Incredibles: Rise of the Underminer","Action-Adventure","Heavy Iron Studios","THQ","November 11, 2005","Unreleased","November 1, 2005"
"383","Indiana Jones and the Emperor's Tomb","Third-person Action-Adventure","The Collective","LucasArts","March 28, 2003","Unreleased","February 24, 2003"
"384","Indigo Prophecy Fahrenheit (PAL)","Interactive Movie/Action-Adventure","Quantic Dream","Atari","September 16, 2005","Unreleased","September 20, 2005"
"385","IndyCar Series","Racing","Codemasters","Codemasters","June 20, 2006","Unreleased","June 26, 2003"
"386","IndyCar Series 2005","Racing","Codemasters","Codemasters","June 25, 2004","Unreleased","June 22, 2004"
"387","Inside Pitch 2003","Sports","Xbox Game Studios","Xbox Game Studios","Unreleased","Unreleased","May 20, 2003"
"388","The Italian Job","Racing","Climax Group","Eidos Interactive","September 12, 2003","Unreleased","June 25, 2003"
"389","Intellivision Lives!","Arcade Compilations","Realtime Associates","Crave Entertainment","Unreleased","Unreleased","February 2, 2004"
"390","International Superstar Soccer 2","Sports","KCEO","Konami","May 3, 2002","Unreleased","Unreleased"
"391","Iron Phoenix","Action/Fighting","InterServ International","Sega","October 19, 2004","Unreleased","March 25, 2003"
"392","Jacked","Racing","Sproing","Empire Interactive","February 10, 2006","Unreleased","Unreleased"
"393","Jade Empire","Action RPG","BioWare","Xbox Game Studios","April 22, 2005","Unreleased","April 12, 2005"
"394","James Cameron's Dark Angel","Beat 'em up","Radical Entertainment","Vivendi Universal Games","November 19, 2002","Unreleased","November 20, 2002"
"395","Jaws Unleashed","Action-Adventure","Appaloosa Interactive","Majesco Entertainment","October 20, 2006","Unreleased","May 23, 2006"
"396","Jet Set Radio Future","Action/Sports","Smilebit","SEGA","March 14, 2002","February 22, 2002","February 25, 2002"
"397","Jikkyou World Soccer 2002","Sports","Konami","Konami","Unreleased","May 23, 2002","Unreleased"
"398","Jockey's Road","Racing (Horses)","Progress Software","Xbox Game Studios","Unreleased","October 10, 2002","Unreleased"
"399","Judge Dredd: Dredd Vs. Death","First-person shooter","Rebellion Developments","Evolved Games","October 17, 2003","Unreleased","March 3, 2005"
"400","Juiced","Racing","Juice Games","THQ","June 17, 2005","May 18, 2006","June 13, 2005"
"401","Jurassic Park: Operation Genesis","Theme Park Simulation","Blue Tongue","Vivendi Universal GamesKonami","March 28, 2003","Unreleased","March 26, 2003"
"402","Just Cause","Third-person Action-Adventure/Third-person shooter","Avalanche Studios","Eidos Interactive","September 22, 2006","Unreleased","September 27, 2006"
"403","Justice League Heroes","Action RPG","Snowblind Studios","Eidos Interactive","October 6, 2006","Unreleased","October 17, 2006"
"404","Kabuki Warriors","Fighting","Bergsala Lightweight","Crave Entertainment","Unreleased","February 28, 2002","November 19, 2001"
"405","Kakuto Chojin","Fighting","Dream Publishing","Xbox Game Studios","January 7, 2003","January 1, 2003","November 11, 2002"
"406","Kao the Kangaroo: Round 2","Action-Adventure/Platformer","Tate Interactive","JoWooD ProductionsAtari","April 15, 2003","Unreleased","Unreleased"
"407","Karaoke Revolution","Karaoke","Harmonix Music","Konami","Unreleased","Unreleased","November 10, 2004"
"408","Karaoke Revolution Party","Karaoke","Harmonix Music","Konami","Unreleased","Unreleased","November 8, 2005"
"409","Kelly Slater's Pro Surfer","Extreme Sports","Treyarch","Activision","October 18, 2002","Unreleased","September 16, 2002"
"410","Kikou Heidan J-Phoenix +","Action/Mecha","Takara","Takara","Unreleased","December 5, 2002","Unreleased"
"411","Kill Switch","Third-person shooter","Namco","Namco","February 2, 2004","Unreleased","October 28, 2003"
"412","King Arthur","Action-Adventure","Krome Studios","Konami","February 11, 2005","Unreleased","November 16, 2004"
"413","Kingdom Under Fire: Heroes","Hack and slash/Real-Time Tactics","Blueside, Phantagram","Xbox Game Studios","October 7, 2005","Unreleased","September 20, 2005"
"414","Kingdom Under Fire: The Crusaders","Hack and slash/Real-Time Tactics","Phantagram","Xbox Game Studios","October 29, 2004","Unreleased","October 12, 2004"
"415","The King of Fighters 02/03","Fighting","Eolith","Eolith","Unreleased","Unreleased","August 30, 2005"
"416","The King of Fighters 2002","Fighting","Eolith","Eolith","March 24, 2005","March 18, 2005","Unreleased"
"417","The King of Fighters 2003","Fighting","Eolith","Eolith","October 6, 2005","August 25, 2005","Unreleased"
"418","The King of Fighters Neowave","Fighting","SNK Playmore","SNK Playmore","Unreleased","March 30, 2006","April 18, 2006"
"419","The King of Fighters: Maximum Impact","Fighting","SNK Playmore","SNK Playmore","March 4, 2005","August 12, 2004","October 12, 2004"
"420","Knight's Apprentice: Memorick's Adventures","Action-Adventure","Microids","XS Games","June 15, 2004","Unreleased","June 9, 2004"
"421","Knights of the Temple: Infernal Crusade","Action-Adventure/Hack and slash","Starbreeze Studios","TDK Mediactive","April 8, 2004","Unreleased","Unreleased"
"422","Knights of the Temple II","Action-Adventure/Hack and slash","Cauldron","Playlogic Entertainment, TDK Mediactive","November 24, 2005","Unreleased","Unreleased"
"423","Knockout Kings 2002","Fighting","EA Sports","EA Sports","May 3, 2002","April 4, 2002","March 4, 2002"
"424","Kung Fu Chaos","Fighting/Party game","Just Add Monsters","Xbox Game Studios","April 11, 2003","May 29, 2003","February 24, 2003"
"425","L.A. Rush","Racing","Midway Games","Midway Games","October 21, 2005","Unreleased","October 10, 2005"
"426","Land of the Dead: Road to Fiddler's Green","First-person shooter","Brainbox Games","Groove Games","Unreleased","Unreleased","October 18, 2005"
"427","Largo Winch: Empire Under Threat","Action-Adventure","Dupuis","Ubisoft","September 19, 2002","Unreleased","Unreleased"
"428","Legacy of Kain: Defiance","Third-person Action-Adventure","Crystal Dynamics","Eidos Interactive","November 18, 2003","Unreleased","February 2, 2004"
"429","The Legend of Spyro: A New Beginning","Action/Platformer","Krome Studios","Vivendi Games","October 27, 2006","Unreleased","October 10, 2006"
"430","Legends of Wrestling","Sports","Acclaim Studios Salt Lake City","Acclaim Entertainment","June 7, 2002","Unreleased","May 27, 2002"
"431","Legends of Wrestling II","Sports","Acclaim Studios Salt Lake City","Acclaim Entertainment","February 7, 2003","Unreleased","December 5, 2002"
"432","Lego Star Wars: The Video Game","Third-person Action-Adventure","Traveller's Tales","Eidos InteractiveGiant Interactive Entertainment","April 22, 2005","Unreleased","April 5, 2005"
"433","Lego Star Wars II: The Original Trilogy","Third-person Action-Adventure","Traveller's Tales","LucasArts","September 12, 2006","Unreleased","September 28, 2006"
"434","Leisure Suit Larry: Magna Cum Laude","Adventure","High Voltage Software","Vivendi Universal Games","November 5, 2004","Unreleased","October 5, 2004"
"435","Lemony Snicket's A Series of Unfortunate Events","Platformer","Adrenium Games","Activision","November 26, 2004","Unreleased","November 10, 2004"
"436","Links 2004","Sports","Indie Built","Xbox Game Studios","November 28, 2003","Unreleased","November 1, 2003"
"437","LMA Manager 2003","Sports Manager","Codemasters","Codemasters","November 15, 2002","Unreleased","Unreleased"
"438","LMA Manager 2004","Sports Manager","Codemasters","Codemasters","March 12, 2004","Unreleased","Unreleased"
"439","LMA Manager 2005","Sports Manager","Codemasters","Codemasters","October 31, 2004","Unreleased","Unreleased"
"440","LMA Manager 2006","Sports Manager","Codemasters","Codemasters","November 18, 2005","Unreleased","Unreleased"
"441","Loons: The Fight for Fame","Fighting","Warthog Games","Infogrames","September 27, 2002","Unreleased","September 15, 2002"
"442","The Lord of the Rings: The Fellowship of the Ring","Action-Adventure","The Whole Experience","Vivendi Universal Games","November 8, 2002","Unreleased","September 24, 2002"
"443","The Lord of the Rings: The Return of the King","Hack and slash/Action RPG","Hypnos Entertainment","EA Games","November 14, 2003","Unreleased","November 5, 2003"
"444","The Lord of the Rings: The Third Age","RPG","EA Games","EA Games","November 5, 2004","Unreleased","November 2, 2004"
"445","The Lord of the Rings: The Two Towers","Hack and slash/Action RPG","Stormfront Studios","EA Games","March 14, 2003","Unreleased","December 30, 2002"
"446","Lotus Challenge","Racing","Kuju Entertainment","Ignition Entertainment","February 12, 2003","Unreleased","July 28, 2004"
"447","Mace Griffin: Bounty Hunter","First-person shooter","Warthog Games","Vivendi Universal Games","September 26, 2003","Unreleased","June 20, 2003"
"448","Mad Dash Racing","Racing","Crystal Dynamics","Eidos Interactive","March 14, 2002","May 30, 2002","November 15, 2001"
"449","Madagascar","Action-Adventure","Toys for Bob","Activision","June 30, 2005","August 11, 2005","May 24, 2005"
"450","Madden NFL 06","Sports","EA Tiburon","EA Sports","September 16, 2005","September 16, 2005","August 8, 2005"
"451","Madden NFL 07","Sports","EA Tiburon","EA Sports","August 25, 2006","Unreleased","August 22, 2006"
"452","Madden NFL 08","Sports","EA Tiburon","EA Sports","Unreleased","Unreleased","August 14, 2007"
"453","Madden NFL 09","Sports","EA Tiburon","EA Sports","Unreleased","Unreleased","August 12, 2008"
"454","Madden NFL 2002","Sports","EA Tiburon","EA Sports","Unreleased","Unreleased","November 15, 2001"
"455","Madden NFL 2003","Sports","EA Tiburon","EA Sports","September 27, 2002","Unreleased","August 12, 2002"
"456","Madden NFL 2004","Sports","EA Tiburon","EA Sports","September 12, 2003","Unreleased","August 12, 2003"
"457","Madden NFL 2005","Sports","EA Tiburon","EA Sports","September 17, 2004","Unreleased","August 9, 2004"
